,location_name,google_name,Location,Average User Rating,Total User Rating
1422,Burlington Beer Works,Burlington Beer Works,"{'lat': 36.0936319, 'lng': -79.4367614}",4.4,172
1423,Burly Brewing Company LLC,BURLY Brewing Company,"{'lat': 39.3754497, 'lng': -104.8713758}",4.7,220
1424,Burn'Em Brewing,Burn 'Em Brewing,"{'lat': 41.738628, 'lng': -86.82802199999999}",4.8,204
1425,Burnin Daylight Brewing Company,Burnin Daylight Brewing Company,"{'lat': 33.8029078, 'lng': -118.3197351}",4.7,89
1426,Burning Barrel Brewing Company,Burning Barrel Brewing Co.,"{'lat': 38.5972675, 'lng': -121.2663808}",4.7,236
1427,Burning Beard Brewing,Burning Beard Brewing Co.,"{'lat': 32.8118061, 'lng': -116.9725378}",4.7,217
1428,Burning Blush Brewery,Burning Blush Brewery,"{'lat': 35.3834652, 'lng': -82.5696128}",4.7,141
1429,Burning Brothers Brewing,Burning Brothers Brewing,"{'lat': 44.9588889, 'lng': -93.1744444}",4.6,244
1430,Burning Bush Brewery,Burning Bush Brewery,"{'lat': 41.954633, 'lng': -87.6935886}",4.8,72
1431,Burns Family Artisan Ales,Burns Family Artisan Ales,"{'lat': 39.72076550000001, 'lng': -105.0174344}",5,120
1432,Burnt City Brewing,Burnt City Brewing,"{'lat': 41.8893958, 'lng': -87.66670239999999}",4.4,346
1433,Burnt Field Brewing,Burnt Field Brewing,"{'lat': 45.8472571, 'lng': -119.694036}",4.7,208
1434,Burnt Hickory Brewery,The Burnt Hickory Brewery,"{'lat': 34.0337135, 'lng': -84.61663879999999}",4.6,140
1435,Burnt Timber Brewing,Burnt Timber Brewing & Tavern,"{'lat': 43.5861991, 'lng': -71.2079919}",4.6,103
1436,Burnt Tree Brewing,Burnt Tree Brewing,"{'lat': 45.34853710000001, 'lng': -111.7268067}",3.7,21
1437,Burt Lake Brewery Seasons of the North Winery,Seasons of the North Winery,"{'lat': 45.4063149, 'lng': -84.6712245}",4.4,36
1438,Burwood Brewing Company,Burwood Brewing Company,"{'lat': 46.09308660000001, 'lng': -118.2654056}",4.7,83
1439,Busey Brews,Busey Brews Smokehouse & Brewery,"{'lat': 39.9616936, 'lng': -105.5093619}",4.7,252
1440,Busted Knuckle Brewery,Busted Knuckle Brewery,"{'lat': 48.1936882, 'lng': -106.6337967}",4.7,38
1441,Busted Sandal Brewing Company,Busted Sandal Brewing Company,"{'lat': 29.4987811, 'lng': -98.5557812}",4.6,144
1442,Butcherknife Brewing Company,Butcherknife Brewing Company,"{'lat': 40.5107762, 'lng': -106.8581983}",4.8,97
1443,Butler Brew Works,Butler Brew Works,"{'lat': 40.8608813, 'lng': -79.89502019999999}",4.5,300
1444,Butte Brewing Co,Butte Brewing Company,"{'lat': 46.0126132, 'lng': -112.5257169}",4.5,132
1445,Butternuts Beer,N/A,N/A,N/A,N/A
1446,Button Brew House LLC,Button Brew House,"{'lat': 32.330685, 'lng': -111.055401}",4.7,135
1447,Buttonwoods Brewery,Buttonwoods Brewery,"{'lat': 41.773453, 'lng': -71.42696819999999}",4.7,152
1448,Buzz Bomb Brewing Co,Buzz Bomb Brewing Co,"{'lat': 39.800358, 'lng': -89.6503704}",4.7,142
1449,Buzz Bomb Brewing Co Production Facility,Buzz Bomb Brewing Co,"{'lat': 39.800358, 'lng': -89.6503704}",4.7,142
1450,Buzzards Bay Brewing Co,Buzzards Bay Brewing,"{'lat': 41.5677337, 'lng': -71.0504608}",4.7,358
1451,Buzzrock Brewing Co,BuzzRock Brewing Co,"{'lat': 33.828741, 'lng': -118.346389}",4.8,11
1452,By All Means Beer,By All Means Brewing,"{'lat': 45.7478294, 'lng': -108.5772705}",4.5,137
1453,ByGeorge Brewing Co,ByGeorge Brewing Co.,"{'lat': 46.4096492, 'lng': -86.6522766}",4.9,63
1454,Byers Brewing Company,Byers Brewing Company,"{'lat': 41.9299046, 'lng': -88.75214330000001}",4.9,23
1455,Byway Brewing Company,Byway Brewing Company,"{'lat': 41.57120889999999, 'lng': -87.46083019999999}",4.3,285
1456,CAVU Brewing,CAVU Brewery and Restaurant,"{'lat': 32.8406962, 'lng': -117.2744876}",4.5,88
1457,CH Evans Brewing Co Albany Pump Station,C H Evans Brewing Co. at the Albany Pump Station,"{'lat': 42.654168, 'lng': -73.747916}",4.4,174
1458,CLAG Brewing Company,CLAG Brewing Company,"{'lat': 41.4559189, 'lng': -82.7111505}",4.8,8
1459,COAST Brewing Co,N/A,N/A,N/A,N/A
1460,COLD Coast Brewing Company,N/A,N/A,N/A,N/A
1461,COOP Ale Works,COOP Ale Works,"{'lat': 35.418587, 'lng': -97.65775800000002}",4.7,144
1462,CR Brewing Company,Cr Brewing Company,"{'lat': 41.04317320000001, 'lng': -80.35777390000001}",5,1
1463,Cabarrus Brewing Company,Cabarrus Brewing Company,"{'lat': 35.413838, 'lng': -80.603039}",4.7,425
1464,Cabin Boys Brewery,Cabin Boys Brewery,"{'lat': 36.1515468, 'lng': -95.96694699999999}",4.8,290
1465,Cabin Creek Brewing,Cabin Creek Brewing,"{'lat': 39.7248878, 'lng': -105.6932907}",4.6,168
1466,Cabinet Mountain Brewing Co,Cabinet Mountain Brewing Company,"{'lat': 48.393717, 'lng': -115.5507336}",4.4,148
1467,Caboose Brewing Co,Caboose Brewing Company & Tavern,"{'lat': 38.9077323, 'lng': -77.2705793}",4.3,491
