type,location_name,region,latitude,longitude
Brewpub,Astoria Brewing Company,OR,46.189896,-123.830339
Brewpub,Astro Lab Brewing,MD,38.992134,-77.027093
Brewpub,Atlantic Brewing Co Bar Harbor Brewing,ME,44.389207,-68.206922
Brewpub,Atomic Ale Brewpub and Eatery,WA,46.274466,-119.277359
Brewpub,Attitude Brewing Company,CA,32.700277,-117.144881
Brewpub,Atwater Grand Rapids,MI,42.970754,-85.672667
Brewpub,Atwater In the Park Biergarten and Tap House,MI,42.381246,-82.940027
Brewpub,Auburn Alehouse,CA,38.89537,-121.078456
Brewpub,Augustino Brewing,KS,37.695783,-97.443689
Brewpub,Aurellias Bottle Shop and Brewhouse,TX,31.883387,-106.570503
Brewpub,Austin Brothers' Beer Company,MI,45.075452,-83.434354
Brewpub,Automatic Brewing Co Blind Lady Alehouse,CA,32.763565,-117.120321
Brewpub,Avalanche Brewing Co,CO,37.810267,-107.664645
Brewpub,Avalon Brew Pub,NJ,39.063558,-74.747491
Brewpub,Avon Brewing Company,OH,41.451592,-82.035569
Brewpub,B and J's Handcrafted Texas Ales,TX,27.679511,-97.386532
Brewpub,B 52 Brewing,TX,30.340686,-95.550912
Brewpub,B C Brewery,MD,39.482986,-76.663314
Brewpub,B O B's Brewery,MI,42.963581,-85.672927
Brewpub,B2 Taphouse & Brewery,OR,44.88228,-123.031831
Brewpub,BBGB Brewery And Hop Farm,IL,41.809553,-88.371574
Brewpub,BJs Restaurant & Brewery Boulder,CO,40.01772,-105.257863
Brewpub,BJs Restaurant & Brewery Brea,CA,33.912923,-117.889342
Brewpub,BJs Restaurant & Brewery Chandler,AZ,33.299696,-111.898289
Brewpub,BJs Restaurant & Brewery Reno,NV,39.405605,-119.748903
Brewpub,BJs Restaurant & Brewery West Covina,CA,34.072378,-117.883664
Brewpub,BS Brew Works Inc,TN,36.503939,-86.885648
Brewpub,Babe's Bar B Que and Brewhouse,CA,33.740802,-116.411028
Brewpub,Back Forty Beer Company Birmingham,AL,33.522578,-86.786563
Brewpub,Back Home Brewing Company,MO,37.006114,-93.205743
Brewpub,Back Unturned Brewing Co,TX,29.433076,-98.484529
Brewpub,Backbeat Brewing Company,MA,42.547719,-70.884564
Brewpub,Backroom Brewery,VA,38.99534,-78.220414
Brewpub,Backshore Brewing Co,MD,38.34024,-75.080355
Brewpub,Backside Brewing Co,OR,43.214708,-123.337668
Brewpub,Backslope Brewing,MT,48.371003,-114.196489
,Backwoods Brewing Company,OR,45.524972,-122.682413
Brewpub,Backyard Brewery,NH,42.93539,-71.413493
Brewpub,Bad Lab Beer Co,NH,43.22985,-70.881588
Brewpub,Bad Shepherd Beer Company,WV,38.350431,-81.635484
,Bad Tom Smith Brewing,OH,41.485989,-81.705216
Brewpub,Badger Mountain Brewing,WA,47.423759,-120.308799
Brewpub,Bag and Kettle The,ME,45.053546,-70.309143
Brewpub,Bagby Beer Company,CA,33.189229,-117.374143
Brewpub,Baggs Square Brewing Co,NY,43.103315,-75.223479
Brewpub,Baileson Brewing Company LLC,TX,29.725744,-95.413783
,Ballast Point Brewing Company,IL,41.886197,-87.649026
,Ballast Point Brewing Company,CA,33.80915,-117.922643
Brewpub,Balsam Falls Brewing,NC,35.373729,-83.222015
Brewpub,Balter Beerworks,TN,35.966445,-83.924
Brewpub,Bam Entertainment Center,MI,42.781253,-86.085551
Brewpub,Band Of Bohemia,IL,41.967695,-87.674903
Brewpub,Bandon Brewing Company,OR,43.11934,-124.411297
Brewpub,Bangor Beer Co,ME,44.82709,-68.752185
Brewpub,Bangor Trust Brewing,PA,40.86595,-75.204915
Brewpub,Bangor Trust Brewing,PA,40.865714,-75.20594
Brewpub,Bankhead Brewing Company,TX,32.902711,-96.565547
Brewpub,Bar 3 BBQ and Brewing,MT,45.775353,-111.174845
Brewpub,Bar D Brewhouse,TX,31.197323,-98.718735
,Bar Hygge Brewery Techne,PA,39.966987,-75.16598
Brewpub,Bardwell Winery and Brewery,OH,39.047218,-83.922121
Brewpub,Barhop Brewing,WA,48.120975,-123.433261
Brewpub,Barhop Brewing Production Facility,WA,48.121382,-123.495813
Brewpub,Bark Brewing Company Fat Dog's Grille & Pub,NC,36.061676,-79.843764
Brewpub,Barley & Board,TX,33.215829,-97.132659
